objectid,fire_year,discovery_doy,fire_size,latitude,longitude
1595814,2012,95,28.0,46.360009999999996,-84.23421
1595815,2012,97,28.8,46.3912,-84.55769000000001
1595817,2012,98,45.8,46.24522,-84.57991
1595819,2012,98,14.0,46.346309999999995,-84.48534000000001
1595822,2012,104,15.3,46.39817,-84.4764
1595824,2012,117,2.2,46.36084,-84.41141999999999
1595825,2012,119,0.2,46.262640000000005,-84.44086999999999
1595826,2012,126,0.5,46.43414,-84.33498
1595829,2012,134,2.2,46.35876,-84.41353000000001
1595832,2012,181,0.7,46.27019,-84.48651
1595836,2012,214,2.2,46.70616,-85.02880999999998
1595838,2012,241,3.0,46.101259999999996,-84.26971
1595840,2012,244,3.2,46.061122999999995,-84.15474499999999
1596028,2012,77,7.8,44.05999,-85.06286999999999
1596031,2012,80,0.7,43.97503,-84.92716999999999
1596032,2012,86,3.4,44.01826,-84.84082
1596033,2012,97,2.4,44.14842,-84.83995
1596035,2012,97,3.6,43.97006,-85.00447
1596036,2012,98,0.6,43.98424,-84.79885
1596038,2012,99,1.8,43.91024,-85.06203000000001
1596039,2012,100,0.2,43.99555,-84.84962
1596040,2012,100,0.3,43.887,-84.81574
1596041,2012,100,1.1,43.887029999999996,-84.81935
1596043,2012,102,0.2,44.06114,-84.81254
1596047,2012,120,0.7,44.13682,-84.63171
1596048,2012,120,0.7,44.00398,-84.79984
1596050,2012,131,0.3,44.060559999999995,-84.82885
1596052,2012,135,1.6,44.0605,-84.7781
1596054,2012,140,0.2,44.09848,-84.76809
1596056,2012,140,3.4,43.910759999999996,-85.04494
1596058,2012,143,0.2,44.07087,-84.81625
1596059,2012,145,0.1,44.02468,-84.77575999999999
1596061,2012,145,0.9,44.06621,-84.82839
1596062,2012,145,0.1,43.88673,-84.77943
1596063,2012,147,0.1,44.06641,-84.74755999999998
1596065,2012,177,0.5,44.028940000000006,-84.66305
1596067,2012,182,0.2,44.06027,-84.83293
1596068,2012,182,1.8,43.95306,-84.76776
1596069,2012,187,0.1,44.03163,-84.8853
1596071,2012,205,0.5,43.99998,-85.0186
1596072,2012,220,0.2,44.113929999999996,-84.72604
1596170,2012,93,3.8,44.61353,-84.65034
1596171,2012,114,0.5,44.648579999999995,-84.52868000000001
